frame,id,x_m,y_m;Frame;ID;x_m;y_m
1,1,3.58,2.96;1;1;3.83;2.56
1,2,4.29,4.80;1;2;5.22;2.90
1,3,1.26,3.61;1;3;4.19;4.25
1,4,3.63,3.64;1;4;5.24;2.19
1,5,3.80,1.49;1;5;0.87;2.82
1,6,0.64,0.82;1;6;2.42;2.46
1,7,3.28,2.23;1;7;3.19;2.87
1,8,4.28,2.35;1;8;3.26;2.41
1,9,3.32,4.16;1;9;0.23;1.61
2,1,3.58,2.95;1;10;4.41;2.74
2,2,4.29,4.80;1;12;2.60;2.71
2,3,1.27,3.61;1;15;4.18;2.76
2,4,3.63,3.64;2;1;3.83;2.56
2,5,3.80,1.49;2;2;5.22;2.90
2,6,0.63,0.82;2;3;4.19;4.25
2,7,3.28,2.23;2;4;5.24;2.19
2,8,4.29,2.35;2;5;0.87;2.82
2,9,3.32,4.17;2;6;2.41;2.47
3,1,3.57,2.96;2;7;3.19;2.87
3,2,4.28,4.80;2;8;3.26;2.41
3,3,1.27,3.63;2;9;0.23;1.61
3,4,3.63,3.64;2;10;4.41;2.74
3,5,3.80,1.49;2;12;2.60;2.71
3,6,0.63,0.82;2;15;4.17;2.77
3,7,3.28,2.23;3;1;3.83;2.56
3,8,4.29,2.35;3;2;5.21;2.90
3,9,3.32,4.16;3;3;4.19;4.25
4,1,3.57,2.96;3;4;5.24;2.19
4,2,4.28,4.80;3;5;0.87;2.82
4,3,1.27,3.64;3;6;2.41;2.47
4,4,3.62,3.64;3;7;3.19;2.87
4,5,3.81,1.49;3;8;3.26;2.41
4,6,0.63,0.82;3;9;0.23;1.60
4,7,3.29,2.23;3;10;4.40;2.74
4,9,3.32,4.16;3;12;2.60;2.72
5,1,3.57,2.95;3;15;4.17;2.77
5,2,4.28,4.80;4;1;3.83;2.56
5,3,1.26,3.65;4;2;5.21;2.90
5,4,3.62,3.64;4;3;4.19;4.24
5,5,3.81,1.49;4;4;5.24;2.19
5,6,0.62,0.82;4;5;0.87;2.82
5,7,3.50,2.22;4;6;2.41;2.48
5,9,3.32,4.16;4;7;3.19;2.87
5,11,2.99,1.81;4;8;3.26;2.41
6,1,3.57,2.95;4;9;0.24;1.61
6,2,4.29,4.80;4;10;4.40;2.74
6,3,1.27,3.65;4;12;2.60;2.72
6,4,3.62,3.64;4;15;4.17;2.76
6,5,3.81,1.49;5;1;3.83;2.56
6,6,0.62,0.82;5;2;5.21;2.91
6,7,3.57,2.21;5;3;4.19;4.24
6,9,3.32,4.17;5;4;5.24;2.19
6,11,3.00,1.81;5;5;0.87;2.82
7,1,3.57,2.95;5;6;2.41;2.47
7,2,4.29,4.80;5;7;3.19;2.87
7,3,1.27,3.65;5;8;3.26;2.42
7,4,3.61,3.63;5;9;0.23;1.62
7,5,3.82,1.49;5;10;4.40;2.74
7,6,0.62,0.82;5;12;2.60;2.72
7,7,3.61,2.21;5;15;4.17;2.76
7,9,3.32,4.16;6;1;3.83;2.56
7,11,3.00,1.81;6;2;5.21;2.92
8,1,3.56,2.95;6;3;4.19;4.24
8,2,4.29,4.80;6;4;5.24;2.19
8,3,1.27,3.65;6;5;0.87;2.82
8,4,3.61,3.63;6;6;2.42;2.47
8,5,3.82,1.49;6;7;3.19;2.87
8,6,0.62,0.82;6;8;3.26;2.42
8,7,3.62,2.21;6;9;0.23;1.62
8,9,3.32,4.16;6;10;4.40;2.74
8,11,3.00,1.81;6;12;2.60;2.72
9,1,3.56,2.95;6;15;4.17;2.76
9,2,4.29,4.80;7;1;3.83;2.56
9,3,1.28,3.65;7;2;5.22;2.92
9,4,3.61,3.63;7;3;4.19;4.24
9,5,3.82,1.49;7;4;5.24;2.19
9,6,0.61,0.82;7;5;0.87;2.81
9,7,3.62,2.22;7;6;2.42;2.47
9,9,3.32,4.17;7;7;3.19;2.87
9,11,3.00,1.81;7;8;3.26;2.43
10,1,3.56,2.95;7;9;0.23;1.62
10,2,4.29,4.80;7;10;4.57;2.70
10,3,1.27,3.65;7;12;2.60;2.73
10,4,3.60,3.63;7;15;4.17;2.76
10,5,3.83,1.49;8;1;3.83;2.56
10,6,0.62,0.82;8;2;5.22;2.93
10,7,3.62,2.22;8;3;4.19;4.24
10,9,3.32,4.17;8;4;5.24;2.19
10,11,3.01,1.81;8;5;0.87;2.80
10,15,3.29,0.75;8;6;2.42;2.47
11,1,3.56,2.95;8;7;3.19;2.87
11,2,4.28,4.79;8;8;3.26;2.43
11,3,1.25,3.65;8;9;0.23;1.62
11,4,3.59,3.63;8;10;4.64;2.68
11,5,3.83,1.49;8;12;2.60;2.73
11,7,3.62,2.21;8;15;4.17;2.76
11,9,3.33,4.18;9;1;3.83;2.56
11,11,3.01,1.81;9;2;5.22;2.93
11,15,3.28,0.75;9;3;4.19;4.24
12,1,3.56,2.95;9;4;5.24;2.19
12,2,4.28,4.79;9;5;0.87;2.79
12,3,1.25,3.65;9;6;2.43;2.47
12,4,3.58,3.63;9;7;3.19;2.87
12,5,3.83,1.49;9;8;3.26;2.43
12,7,3.61,2.21;9;9;0.23;1.61
12,9,3.33,4.18;9;10;4.66;2.67
12,11,3.01,1.81;9;12;2.60;2.73
12,15,3.26,0.75;9;15;4.17;2.76
13,1,3.55,2.95;10;1;3.83;2.56
13,2,4.28,4.79;10;2;5.20;2.94
13,3,1.24,3.65;10;3;4.19;4.24
13,4,3.58,3.63;10;4;5.24;2.18
13,5,3.82,1.49;10;5;0.86;2.78
13,7,3.59,2.21;10;6;2.43;2.47
13,9,3.34,4.20;10;7;3.19;2.87
13,11,3.01,1.81;10;8;3.26;2.44
13,15,3.25,0.75;10;9;0.23;1.61
13,17,3.43,3.77;10;10;4.67;2.67
14,1,3.55,2.95;10;12;2.59;2.73
14,2,4.28,4.79;10;15;4.17;2.76
14,3,1.24,3.66;11;1;3.83;2.56
14,4,3.58,3.63;11;2;5.19;2.95
14,5,3.83,1.49;11;3;4.19;4.24
14,7,3.58,2.21;11;4;5.24;2.18
14,9,3.35,4.21;11;5;0.85;2.76
14,11,3.01,1.81;11;6;2.41;2.47
14,15,3.24,0.75;11;7;3.19;2.87
14,17,3.43,3.77;11;8;3.26;2.44
15,1,3.55,2.95;11;9;0.24;1.61
15,2,4.28,4.79;11;10;4.67;2.67
15,3,1.25,3.66;11;12;2.59;2.73
15,4,3.58,3.63;11;15;4.17;2.76
15,5,3.82,1.49;12;1;3.83;2.56
15,7,3.56,2.21;12;2;5.21;2.95
15,9,3.34,4.21;12;3;4.19;4.24
15,11,3.00,1.81;12;4;5.24;2.18
15,15,3.24,0.75;12;6;2.41;2.47
15,17,3.42,3.77;12;7;3.19;2.86
16,1,3.55,2.95;12;8;3.26;2.44
16,2,4.28,4.79;12;9;0.24;1.61
16,3,1.24,3.66;12;10;4.66;2.67
16,4,3.57,3.63;12;12;2.59;2.73
16,5,3.82,1.49;12;15;4.17;2.76
16,7,3.57,2.21;12;21;5.64;2.58
16,9,3.35,4.21;13;1;3.83;2.56
16,11,2.99,1.81;13;2;5.21;2.96
16,15,3.26,0.75;13;3;4.19;4.24
16,17,3.42,3.77;13;4;5.24;2.18
17,1,3.55,2.95;13;6;2.41;2.47
17,2,4.28,4.79;13;7;3.19;2.86
17,3,1.24,3.66;13;8;3.26;2.44
17,4,3.57,3.64;13;9;0.24;1.61
17,5,3.82,1.49;13;10;4.67;2.67
17,7,3.59,2.21;13;12;2.59;2.73
17,9,3.36,4.22;13;15;4.18;2.76
17,11,2.98,1.80;14;1;3.83;2.56
17,15,3.25,0.75;14;2;5.22;2.96
17,17,3.41,3.77;14;3;4.19;4.24
18,1,3.54,2.95;14;4;5.24;2.18
18,2,4.28,4.79;14;6;2.41;2.47
18,3,1.25,3.66;14;7;3.19;2.87
18,4,3.56,3.64;14;8;3.26;2.44
18,5,3.82,1.49;14;9;0.24;1.61
18,7,3.59,2.21;14;10;4.67;2.67
18,9,3.36,4.22;14;12;2.59;2.74
18,11,2.98,1.80;14;15;4.18;2.76
18,15,3.26,0.74;15;1;3.83;2.56
18,17,3.41,3.77;15;2;5.22;2.96
19,1,3.54,2.95;15;3;4.19;4.24
19,2,4.28,4.79;15;4;5.24;2.18
19,3,1.26,3.66;15;6;2.41;2.47
19,4,3.57,3.64;15;7;3.19;2.86
19,5,3.82,1.49;15;8;3.26;2.44
19,7,3.58,2.21;15;9;0.24;1.61
19,9,3.36,4.23;15;10;4.67;2.67
19,11,2.98,1.80;15;12;2.59;2.73
19,15,3.27,0.74;15;15;4.18;2.76
19,17,3.41,3.77;16;1;3.83;2.56
20,1,3.54,2.95;16;2;5.22;2.96
20,2,4.28,4.79;16;3;4.19;4.24
20,3,1.26,3.66;16;4;5.23;2.18
20,4,3.57,3.64;16;6;2.41;2.47
20,5,3.82,1.49;16;7;3.19;2.86
20,7,3.59,2.21;16;8;3.26;2.44
20,9,3.36,4.24;16;9;0.23;1.60
20,11,2.98,1.80;16;10;4.66;2.67
20,15,3.27,0.74;16;12;2.59;2.73
20,17,3.41,3.78;16;15;4.18;2.76
21,1,3.54,2.95;17;1;3.83;2.56
21,2,4.28,4.79;17;2;5.28;2.97
